Date,SPY,VIX
2025-07-15,622.14,17.38
2025-07-16,624.22,17.16
2025-07-17,628.04,16.52
2025-07-18,627.58,16.41
2025-07-21,628.77,16.65
2025-07-22,628.86,16.5
2025-07-23,634.21,15.37
2025-07-24,634.42,15.39
2025-07-25,637.1,14.93
2025-07-28,636.94,15.03
2025-07-29,635.26,15.98
2025-07-30,634.46,15.48
2025-07-31,638.37,15.38
